City,Hemisphere,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Kudamatsu,northern,34,131.8667,71.55,92,1,3.67
Matara,northern,5.9485,80.5353,77.86,89,35,8.12
São Félix do Xingu,southern,-6.6447,-51.995,93.85,25,10,3.38
Carutapera,southern,-1.195,-46.02,84.02,72,24,4.25
Jega,northern,12.2175,4.3792,93.04,39,55,3.94
Emmett,northern,43.8735,-116.4993,95.47,26,0,1.01
Lüderitz,southern,-26.6481,15.1594,58.1,71,0,7.27
Banda Aceh,northern,5.5577,95.3222,79.83,79,82,8.9
Hervey Bay,southern,-25.2986,152.8535,58.01,91,73,3
Kaitangata,southern,-46.2817,169.8464,43.93,37,72,17.52
Lata,northern,40.1629,-8.3327,61.97,64,22,8.9
Mbanza-Ngungu,southern,-5.25,14.8667,72.95,61,29,3.67
Dhidhdhoo,northern,6.8833,73.1,83.21,76,100,15.1
Montemor-o-Novo,northern,38.6481,-8.2145,68.4,43,0,14.76
Necochea,southern,-38.5473,-58.7368,48.04,71,100,25.08
Alibag,northern,18.6411,72.8792,82.47,80,100,2.84
Brae,northern,60.3964,-1.353,51.71,88,77,10.51
Zaozyornoye,northern,45.1582,33.2787,72.03,77,1,9.48
Huarmey,southern,-10.0681,-78.1522,70.11,71,70,10.98
Sawākin,northern,19.1059,37.3321,89.78,46,1,6.42
Arrondissement de Lure,northern,47.75,6.5,62.37,94,100,6.91
Leshukonskoye,northern,64.8989,45.7622,65.23,92,100,3.06
Neiafu,southern,-18.65,-173.9833,76.15,67,100,17.98
Blackwater,southern,-23.5833,148.8833,56.73,79,16,10.69
Lavrentiya,northern,65.5833,-171,46.26,86,100,10.13
Lodwar,northern,3.1191,35.5973,86.13,34,55,17.45
Thanh Hoa,northern,19.8,105.7667,84.79,64,100,6.98
Kavieng,southern,-2.5744,150.7967,81.54,78,100,11.43
Rodas,northern,22.3408,-80.5572,90.48,50,94,6.89
Mount Gambier,southern,-37.8333,140.7667,42.66,87,9,6.93
Pacific Grove,northern,36.6177,-121.9166,62.02,86,90,1.99
Ivdel',northern,60.6911,60.4206,68.4,79,86,1.74
Reshetnikovo,northern,56.45,36.5667,66.52,99,99,5.5
Carroll,northern,39.5501,-77.0164,89.78,61,5,5.01
Tacoronte,northern,28.4769,-16.4102,63.72,75,75,15.01
Bubaque,northern,11.2833,-15.8333,80.8,82,97,14.76
Novodmitriyevskaya,northern,44.8347,38.8772,73.49,88,0,4.03
Pundaguitan,northern,6.3711,126.1689,82.2,73,7,0.83
Vila Velha,southern,-20.3297,-40.2925,79.97,56,0,15.03
Homer,northern,59.6425,-151.5483,54.45,87,42,3.83
Mount Isa,southern,-20.7333,139.5,53.37,76,28,5.75
Klyuchi,northern,52.2667,79.1667,65.03,77,35,7.34
Pevek,northern,69.7008,170.3133,37.09,93,100,3.49
Vanino,northern,49.0869,140.2543,47.03,98,100,2.89
Otradnoye,northern,59.7775,30.8181,66.04,97,100,7.25
Tessalit,northern,20.1986,1.0114,100.54,7,0,10.04
Los Llanos de Aridane,northern,28.6585,-17.9182,68.13,83,75,17.27
Vigía del Fuerte,northern,6.5789,-76.8863,89.17,58,72,1.72
Makkah al Mukarramah,northern,21.4267,39.8261,89.65,34,0,4
Shimoda,northern,34.6667,138.95,68.11,95,100,25.3
Andenes,northern,69.3143,16.1194,46.4,93,75,14.97
Arrondissement de Rambouillet,northern,48.5833,1.9167,62.28,92,78,5.48
Selty,northern,57.3132,52.1345,69.67,89,8,5.86
Batangafo,northern,7.3008,18.2833,72.84,83,100,2.24
Tevriz,northern,57.509,72.4042,61.41,79,97,4.81
Jiuquan,northern,39.7432,98.5174,66.6,26,0,3.53
Caravelas,southern,-17.7125,-39.2481,75.29,58,0,5.79
Sittwe,northern,20.15,92.9,81.23,86,100,6.6
São José da Coroa Grande,southern,-8.8978,-35.1478,77.14,73,7,10.63
Bethel,northern,41.3712,-73.414,90.73,63,100,10.49
Deputatsky,northern,69.3,139.9,57.33,76,100,5.3
Skibbereen,northern,51.55,-9.2667,66,73,100,9.91
Katobu,southern,-4.9408,122.5276,73.35,97,100,4.36
Sørland,northern,67.667,12.6934,48.06,86,100,15.43
Manokwari,southern,-0.8667,134.0833,77.52,77,100,2.75
Severodvinsk,northern,64.5635,39.8302,60.91,93,84,4.76
Cabra,northern,37.4725,-4.4421,85.69,17,0,3
Asău,northern,46.4333,26.4,64.11,100,21,3.89
Inírida,northern,3.8653,-67.9239,82.29,83,89,2.08
Mahon,northern,39.8885,4.2658,75.76,78,20,10.36
Biak,southern,-0.9131,122.8766,74.77,87,21,6.35
Dunmore Town,northern,25.5,-76.65,81.84,76,12,11.5
La Palma,northern,33.8464,-118.0467,80.26,62,1,3
Whitianga,southern,-36.8333,175.7,50.02,78,100,13.13
Muli,northern,2.9167,73.5667,81.57,76,99,9.84
Velikiy Ustyug,northern,60.7644,46.3106,68.47,94,100,4.18
Qui Nhon,northern,13.7667,109.2333,81.86,72,97,5.75
Acaraú,southern,-2.8856,-40.12,82.33,68,10,12.59
Tapes,southern,-30.6733,-51.3958,51.28,60,6,16.13
Kaka,northern,37.3482,59.6143,90.88,17,38,7.11
La Fria,northern,8.2203,-72.2439,91.06,49,20,5.91
Khovd,northern,48.0056,91.6419,59.07,47,100,2.95
Kota Kinabalu,northern,5.9749,116.0724,73.38,94,20,6.91
Zastron,southern,-30.3023,27.084,47.39,37,0,6.02
Tiksi,northern,71.6872,128.8694,31.57,97,100,6.8
Kamloops,northern,50.6665,-120.3192,97.83,20,5,2.37
Toora-Khem,northern,52.4675,96.11,44.64,88,79,0.69
Vanimo,southern,-2.6741,141.3028,77.2,89,32,4.14
Mnogovershinnyy,northern,53.9353,139.9242,47.3,91,22,4.07
Micheweni,southern,-4.9667,39.8333,76.1,78,37,13.98
Lompoc,northern,34.6391,-120.4579,63.14,79,40,13.8
Mae Hong Son,northern,19.3003,97.9685,73.51,98,100,1.92
Khanpur,northern,28.6453,70.6567,101.23,21,0,6.78
Maturin,northern,9.75,-63.1767,80.58,83,51,8.68
Hambantota,northern,6.1241,81.1185,79.45,85,93,13.96
Barranca,southern,-10.75,-77.7667,67.33,71,100,9.86
Cottonwood,northern,34.7392,-112.0099,94.17,21,6,3
Nakło nad Notecią,northern,53.1421,17.6018,73.83,65,0,4.18
Olafsvik,northern,64.8945,-23.7142,51.28,82,100,7.58
Valparaíso,southern,-33.0393,-71.6273,64.04,45,0,8.05
Libertador General San Martín,southern,-23.8064,-64.7876,56.93,37,1,3.87
Zhalantun,northern,48,122.7167,64.27,87,12,2.93
Oranjemund,southern,-28.55,16.4333,58.26,71,4,7.09
Manuk Mangkaw,northern,4.8,119.85,83.52,69,6,6.64
Washougal,northern,45.5826,-122.3534,108.27,22,1,14.97
Chiang Rai,northern,19.9167,99.9167,77.13,94,100,1.01
Sherlovaya Gora,northern,50.5667,116.25,58.48,92,89,5.1
Havre-St-Pierre,northern,50.2334,-63.5986,65.91,63,0,10.09
Morros,southern,-9.4467,-46.3003,88.25,23,0,4.88
Kinna,northern,57.5073,12.6946,64.35,69,80,5.28
Moerai,southern,-22.4333,-151.3333,74.8,81,100,18.99
Fredericton,northern,45.9454,-66.6656,82.36,74,82,1.01
Isiro,northern,2.7739,27.616,67.53,97,100,0.27
Mrakovo,northern,52.7161,56.6244,67.51,89,0,3.53
Laas,northern,46.6166,10.7002,78.71,82,100,5.03
Bonavista,northern,48.6499,-53.1147,56.12,88,100,22.64
Tura,northern,25.5198,90.2201,74.5,97,79,6.96
Morondava,southern,-20.2833,44.2833,71.22,67,0,7.11
Sungai Penuh,southern,-2.0833,101.3833,63.3,98,87,1.41
Ialibu,southern,-6.2821,143.9935,53.06,96,17,2.62
Hamadan,northern,34.7992,48.5146,72.86,17,15,6.33
Manama,northern,26.2154,50.5832,91.38,62,0,9.22
Margate,northern,51.3813,1.3862,60.64,99,41,3
‘Āhuimanu,northern,21.4447,-157.8378,80.98,54,7,9.44
Beni Suef,northern,29.0731,31.0979,92.55,23,0,19.39
