City,Hemisphere,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Pangody,northern,65.85,74.4859,44.98,56,100,8.48
Cabo San Lucas,northern,22.8909,-109.9124,90.07,70,31,11.01
Vaini,southern,-21.2,-175.2,71.76,73,20,12.66
Lompoc,northern,34.6391,-120.4579,69.84,71,1,16.11
Kavieng,southern,-2.5744,150.7967,82.24,76,93,10.2
Tonota,southern,-21.4833,27.4833,59.43,42,0,6.29
Cherskiy,northern,68.75,161.3,59.13,34,31,4.43
Hasaki,northern,35.7333,140.8333,67.59,84,87,4.29
Mezhdurechensk,northern,53.6942,88.0603,49.05,99,100,3.22
Talas,northern,38.6908,35.5538,68.67,60,40,1.14
Saint George,northern,37.1041,-113.5841,95.76,13,1,5.01
Hambantota,northern,6.1241,81.1185,80.11,80,95,16.04
Paita,southern,-5.0892,-81.1144,75.76,75,68,19.01
Thompson,northern,55.7435,-97.8558,69.96,60,75,2.3
Ancud,southern,-41.8697,-73.8203,41.23,69,22,10
Bilma,northern,18.6853,12.9164,95.34,11,12,7.27
Darfo,northern,45.8779,10.1812,68.02,72,8,5.95
Ariquemes,southern,-9.9133,-63.0408,88.3,42,4,1.07
Hoopstad,southern,-27.8327,25.9083,53.62,36,7,8.5
Port Alfred,southern,-33.5906,26.891,61.47,69,13,16.82
Busselton,southern,-33.65,115.3333,49.05,80,68,10.09
Atuona,southern,-9.8,-139.0333,78.85,78,15,17.54
Lorengau,southern,-2.0226,147.2712,81.14,79,100,4.99
Flinders,southern,-34.5833,150.8552,49.86,78,3,1.01
George Town,northern,5.4112,100.3354,78.96,91,20,0
Mulchén,southern,-37.7167,-72.2333,44.46,89,14,4.41
Uthal,northern,25.8072,66.6219,83.05,77,48,8.32
Rawson,southern,-43.3002,-65.1023,48.27,47,100,20.98
Bundaberg,southern,-24.85,152.35,66.49,94,90,4.61
Saint Anthony,northern,45.0205,-93.218,84.67,36,1,3
Huarmey,southern,-10.0681,-78.1522,68.36,71,8,11.39
Butaritari,northern,3.0707,172.7902,81.81,75,100,12.15
Rawlins,northern,41.7911,-107.2387,56.62,86,90,11.5
Davila,northern,18.4726,120.5763,80.98,82,96,9.71
Arenápolis,southern,-14.4503,-56.8461,88.95,30,16,6.67
Matagami,northern,49.7502,-77.6328,68.11,83,90,13.8
Diffa,northern,13.3154,12.6113,89.06,36,44,12.44
Hermanus,southern,-34.4187,19.2345,58.8,78,40,23.6
Punta Arenas,southern,-53.15,-70.9167,39.22,70,20,19.57
Beloha,southern,-25.1667,45.05,61.99,78,3,1.66
Mar del Plata,southern,-38.0023,-57.5575,56.86,62,75,8.01
Katsuura,northern,35.1333,140.3,70,86,94,5.91
Safi,northern,32.2994,-9.2372,67.48,89,3,5.26
Sinnamary,northern,5.3833,-52.95,81.07,75,17,9.04
Yellowknife,northern,62.456,-114.3525,73.92,40,20,9.22
Tuktoyaktuk,northern,69.4541,-133.0374,53.6,76,75,25.32
Owo,northern,7.1962,5.5868,72.1,96,79,4.74
Torbay,northern,47.6666,-52.7314,67.42,58,20,11.5
Palāsa,northern,18.7667,84.4167,85.19,66,100,3.15
Miepherkeim,northern,38.1419,41.0081,75.49,26,0,3
Karatau,northern,43.1667,70.4667,59.65,38,32,4.52
Charters Towers,southern,-20.1,146.2667,59.99,93,20,11.9
Port Alberni,northern,49.2413,-124.8028,89.02,37,7,1.99
Aykhal,northern,66,111.5,66.38,64,84,5.08
Castro,southern,-24.7911,-50.0119,61.36,85,4,4.59
Escanaba,northern,45.7453,-87.0646,73.81,83,40,6.91
Sakakah,northern,29.9697,40.2064,92.77,13,0,9.28
Taoudenni,northern,22.6783,-3.9836,104.09,9,24,6.08
Semey,northern,50.4111,80.2275,55.31,68,100,5.3
Tiznit Province,northern,29.5833,-9.5,66.11,73,0,4.16
Tasiilaq,northern,65.6145,-37.6368,55.56,49,0,13.31
Belfast,northern,54.5833,-5.9333,53.08,76,40,9.22
Formosa,southern,-26.1775,-58.1781,69.78,60,0,5.75
Codrington,southern,-38.2667,141.9667,46.85,74,97,8.14
Cascais,northern,38.6979,-9.4215,72.05,60,0,12.66
Mersing,northern,2.4312,103.8405,73.31,94,21,4.61
Belaya Gora,northern,68.5333,146.4167,74.1,28,2,9.75
Longyearbyen,northern,78.2186,15.6401,37.24,87,75,4.61
Redlands,northern,34.0556,-117.1825,89.65,31,1,1.99
Sisimiut,northern,66.9395,-53.6735,43.12,79,100,14.29
Bambari,northern,5.768,20.6757,73.87,74,29,1.23
Raja,northern,8.4596,25.678,72,85,92,4.59
Padang,southern,-0.9492,100.3543,76.89,91,100,3.53
Kiruna,northern,67.8557,20.2251,45.52,71,34,6.91
Boueni,southern,-12.9025,45.0761,71.58,71,0,1.34
Kruisfontein,southern,-34.0033,24.7314,59.88,60,7,6.42
Kavaratti,northern,10.5669,72.642,82.36,76,76,15.37
Wad Medani,northern,14.4012,33.5199,79.2,67,100,32.86
Santa Maria,southern,-29.6842,-53.8069,60.1,82,20,8.05
Arraial do Cabo,southern,-22.9661,-42.0278,75.06,73,0,12.66
Rockport,northern,28.0206,-97.0544,88.68,70,20,3
Nikolskoye,northern,59.7035,30.7861,68.88,94,74,3.27
Pevek,northern,69.7008,170.3133,34.18,83,9,3.09
Clyde River,northern,70.4692,-68.5914,39.43,87,75,8.05
Phalodi,northern,27.1333,72.3667,88.86,53,0,20.51
Pakdasht,northern,35.4752,51.6807,87.62,13,15,5.12
San Jerónimo,southern,-11.9472,-75.2829,61.12,39,29,8.37
Bengkulu,southern,-3.8004,102.2655,75.11,88,34,3.78
Neuquén,southern,-38.9516,-68.0591,53.49,35,40,12.66
Te Anau,southern,-45.4167,167.7167,46.15,94,43,0.51
Hilo,northern,19.7297,-155.09,81.64,64,75,4.61
Bend,northern,44.0582,-121.3153,84.18,27,1,1.01
Ouallam,northern,14.3188,2.0866,90.64,39,55,9.69
Smoky Lake,northern,54.1169,-112.4686,74.84,46,61,12.66
Barrow,northern,71.2906,-156.7887,35.62,69,90,16.11
Jiuquan,northern,39.7432,98.5174,69.21,26,74,1.1
Severnyy,northern,50.677,36.5532,77.04,65,0,6.71
Novomykolayivka,northern,47.9781,35.9102,75.45,71,21,2.59
Sola,southern,-13.8833,167.55,79.07,63,76,21.09
Bentiu,northern,9.2333,29.8333,77.07,69,88,7.25
San Andrés,northern,12.5847,-81.7006,75.22,94,75,5.75
Carnarvon,southern,-24.8667,113.6333,46.47,39,62,9.22
Wagar,northern,16.1525,36.2032,81.97,55,100,19.08
Lebu,southern,-37.6167,-73.65,49.03,73,6,12.93
San Patricio,northern,28.017,-97.5169,90.3,55,12,19.19
Arman',northern,59.7,150.1667,55.72,74,67,2.98
Rio Grande,southern,-32.035,-52.0986,56.95,68,21,5.68
Pandan,northern,14.0453,124.1694,79.5,85,19,4.7
Baie-Comeau,northern,49.2168,-68.1489,62.11,67,90,6.91
Qasigiannguit,northern,68.8193,-51.1922,50.25,69,100,14.43
Bethel,northern,41.3712,-73.414,76.78,53,1,9.22
Ayna,southern,-12.65,-73.9167,81.1,64,62,2.98
Kichera,northern,55.9375,110.0997,60.84,85,80,3.11
Kaitangata,southern,-46.2817,169.8464,46.69,93,68,3.6
Lafayette,northern,30.2335,-92.0668,86.99,75,75,5.75
Port Augusta,southern,-32.5,137.7667,48.7,86,8,3.04
Zomin,northern,39.9606,68.3958,67.35,27,97,4.45
Labuan,northern,5.2767,115.2417,78.6,94,20,0
Sioux Lookout,northern,50.1001,-91.917,77.07,41,75,5.75
Iqaluit,northern,63.7506,-68.5145,41.7,70,75,11.01
Leshukonskoye,northern,64.8989,45.7622,59.59,85,100,2.71
Lüderitz,southern,-26.6481,15.1594,58.73,69,1,8.5
Geraldton,southern,-28.7667,114.6,45.01,81,40,5.75
Avera,northern,33.194,-82.5271,84,28,8,4.92
Verkhovazh'ye,northern,60.7472,42.0465,63.68,90,11,3.36
Soubre,northern,5.7856,-6.6083,71.17,99,100,2.95
Belmonte,southern,-15.8631,-38.8828,77,70,0,8.43
São João da Barra,southern,-21.6403,-41.0511,75.29,79,1,13.69
Witu,southern,-2.3889,40.4382,75.36,77,42,14.67
Marsá Maţrūḩ,northern,31.3525,27.2453,77.2,83,0,10.36
Petukhovo,northern,55.0692,67.9019,56.5,83,11,5.59
Airai,southern,-8.9266,125.4092,58.3,95,43,3.31
Faanui,southern,-16.4833,-151.75,81.28,78,17,16.28
Karasjok,northern,69.4719,25.5112,50.11,64,98,5.17
Fuzhou,northern,26.0614,119.3061,76.89,90,100,0.29
Mahébourg,southern,-20.4081,57.7,66.49,94,75,4.61
Hithadhoo,southern,-0.6,73.0833,81.97,70,98,8.66
Nāndūra Buzurg,northern,20.8333,76.45,79.59,78,97,12.26
Buraidah,northern,26.326,43.975,97.25,8,5,9.64
Point Fortin,northern,10.1833,-61.6833,85.08,70,28,12.44
Yoichi,northern,43.2039,140.7703,59.36,77,7,6.29
Vila Franca do Campo,northern,37.7167,-25.4333,66.61,92,100,9.91
Saskylakh,northern,71.9167,114.0833,45.99,80,100,9.53
East London,southern,-33.0153,27.9116,68.77,32,34,21
Vostok,northern,46.4856,135.8833,63.07,74,34,5.3
Kungurtug,northern,50.5994,97.5228,48.96,91,89,2.75
Srednekolymsk,northern,67.45,153.6833,71.83,33,70,9.91
São Filipe,northern,14.8961,-24.4956,74.59,82,39,4.03
Vanimo,southern,-2.6741,141.3028,76.28,88,94,4.36
Scottsboro,northern,34.6723,-86.0341,82.9,61,75,0
Whitehorse,northern,60.7161,-135.0538,66.63,45,90,15.99
Saint-Philippe,southern,-21.3585,55.7679,64.58,78,47,8.84
Chokurdakh,northern,70.6333,147.9167,73.54,31,98,17.83
Tanout,northern,14.9709,8.8879,91.11,25,37,4.7
Bluff,southern,-46.6,168.3333,45.81,92,72,7.29
Sakaiminato,northern,35.55,133.2333,67.98,88,75,1.14
Touros,southern,-5.1989,-35.4608,81.5,73,7,18.59
Saint Paul Harbor,northern,57.79,-152.4072,54.91,71,40,14.97
Phan Thiet,northern,10.9333,108.1,77.09,88,92,4.54
Sovetskaya Gavan',northern,48.9723,140.2878,51.4,99,100,9.01
Mayo,northern,38.8876,-76.5119,79.61,53,97,1.01
San,northern,13.3034,-4.8956,87.57,38,89,3.09
Jadu,northern,31.953,12.0261,87.85,17,84,4.97
Hastings,northern,50.8552,0.5729,57.97,82,100,10.33
Bathsheba,northern,13.2167,-59.5167,79.41,73,75,14.97
Tura,northern,25.5198,90.2201,73.76,97,57,4.99
Vale,northern,41.6156,42.8722,60.71,94,18,1.3
Severo-Kuril'sk,northern,50.6789,156.125,44.11,98,100,3.6
Danielskuil,southern,-28.1887,23.5395,47.25,35,3,12.08
Christchurch,southern,-43.5333,172.6333,50.68,91,90,1.01
Ahtopol,northern,42.1,27.95,73.87,91,30,4.81
Souillac,southern,-20.5167,57.5167,66.58,94,75,4.61
Eureka,northern,40.8021,-124.1637,64.42,75,41,5.99
Ilorin,northern,8.5,4.55,75.94,84,58,5.03
Bonavista,northern,48.6499,-53.1147,78.8,54,0,12.17
Thinadhoo,northern,0.5333,72.9333,82.76,71,100,10.6
Leningradskiy,northern,69.3833,178.4167,37.45,68,8,14.7
Saanen,northern,46.4896,7.2596,54.09,94,29,2.42
Hoi An,northern,15.8794,108.335,80.56,86,100,8.05
Upernavik,northern,72.7868,-56.1549,41.47,74,100,24.23
Dicabisagan,northern,17.0818,122.4157,77.88,83,99,5.12
Coquimbo,southern,-29.9533,-71.3436,60.53,72,0,10.36
Provideniya,northern,64.3833,-173.3,44.55,83,100,6.71
Karratha,southern,-20.7377,116.8463,57.63,49,10,16.33
Chandler,northern,33.3062,-111.8412,103.21,19,20,3
Port-Cartier,northern,50.0334,-66.8654,64.74,62,99,11.63
Khatanga,northern,71.9667,102.5,45.46,53,100,10.85
Lerwick,northern,60.1545,-1.1494,50,78,100,15.79
Kabanjahe,northern,3.1001,98.4908,61.93,97,100,2.77
Brandon,northern,27.9378,-82.2859,86.23,74,40,1.99
Agüimes,northern,27.9054,-15.4461,66.34,66,20,21.85
Vao,southern,-22.6667,167.4833,72.14,66,15,24.23
Xiongzhou,northern,25.1167,114.3,75.99,97,100,3.42
Benjamín Hill,northern,30.1667,-111.1,96.28,19,0,6.53
Batī,northern,11.1833,40.0167,75.4,34,91,9.42
Amga,northern,60.8953,131.9608,63.57,72,89,2.28
Ambon City,southern,-3.6954,128.1814,75.34,94,20,4.61
Francheville,northern,45.7388,4.7722,62.06,71,0,1.14
Río Gallegos,southern,-51.6226,-69.2181,41.05,60,0,27.63
Makakilo City,northern,21.3469,-158.0858,81.32,55,1,9.22
Bambous Virieux,southern,-20.3428,57.7575,66.45,94,75,4.61
Arcata,northern,40.8665,-124.0828,65.88,75,1,3
Pangkalanbuun,southern,-2.6833,111.6167,70.97,94,55,2.66
Port Macquarie,southern,-31.4333,152.9167,48.97,72,1,7.38
Eyl,northern,7.9803,49.8164,77.7,81,61,22.12
Fort-Shevchenko,northern,44.5086,50.263,88.32,32,2,16.02
Hamilton,northern,39.1834,-84.5333,81.32,74,90,1.01
Huayang,northern,34.4155,109.9939,59.79,77,62,2.53
San Cristobal,northern,7.7669,-72.225,80.78,67,97,5.32
Medicine Hat,northern,50.0501,-110.6683,78.13,42,20,1.99
Tena,southern,-0.9833,-77.8167,84.36,82,60,0.51
Beringovskiy,northern,63.05,179.3167,39.94,87,19,10.85
Atherton,northern,53.5237,-2.4935,52.95,81,100,1.99
Henties Bay,southern,-22.116,14.2845,58.64,78,0,6.29
Mount Isa,southern,-20.7333,139.5,49.77,81,1,10.36
Dagda,northern,56.0951,27.5372,63.01,98,86,2.95
Pavlodar,northern,52.3,76.95,49.8,93,0,0
María la Baja,northern,9.9832,-75.3016,85.84,82,92,7.85
Ryōtsu-minato,northern,38.0833,138.4333,69.06,80,95,2.91
Bouar,northern,5.934,15.596,69.24,79,48,1.86
Alta Floresta,southern,-9.8756,-56.0861,89.42,40,40,4.61
Orocué,northern,4.7912,-71.3354,85.62,65,46,2.35
Broken Hill,southern,-31.95,141.4333,46.11,87,90,10.36
Dwārka,northern,22.2394,68.9678,84.24,67,84,19.57
Sulangan,northern,11.1373,123.7228,83.14,74,58,4.23
Viranşehir,northern,37.2353,39.7631,82.29,29,0,7.02
Kralendijk,northern,12.15,-68.2667,85.98,70,75,14.97
Batemans Bay,southern,-35.7167,150.1833,42.91,79,14,6.93
Iquitos,southern,-3.7481,-73.2472,87.84,62,75,5.75
Zhezkazgan,northern,47.8043,67.7144,65.57,45,92,4.99
Salalah,northern,17.0151,54.0924,80.69,89,75,4.61
Arrondissement de Mont-de-Marsan,northern,44,-0.6667,62.29,68,0,6.91
Aranos,southern,-24.1333,19.1167,55.15,23,0,10.71
Sharlyk,northern,52.9167,54.75,68.86,85,51,3.96
Oranjemund,southern,-28.55,16.4333,58.93,87,88,5.7
Wildwood,northern,38.5828,-90.6629,87.55,70,83,13.65
Husavik,northern,66.0449,-17.3389,60.71,67,16,18.41
Omboué,southern,-1.5746,9.2618,73.45,89,30,7.56
Deqing,northern,30.5448,119.9599,78.76,99,100,1.45
Gagnoa,northern,6.1293,-5.9437,70.79,99,92,3.38
Falmouth,northern,50.1544,-5.0711,53.38,61,40,5.99
Kaduqli,northern,11.0167,29.7167,75.87,68,82,6.24
Pingliang,northern,35.5392,106.6861,63.07,88,92,0.69
Ust-Nera,northern,64.5667,143.2,68.52,39,13,5.39
Nyurba,northern,63.2842,118.3319,65.39,74,91,3.8
Kashgar,northern,39.4547,75.9797,74.53,20,0,11.18
Alihe,northern,50.5667,123.7167,62.67,92,100,1.59
Jati,northern,24.3539,68.2671,83.55,68,68,19.46
Cabedelo,southern,-6.9811,-34.8339,79.47,77,13,16.46
Yar-Sale,northern,66.8333,70.8333,44.04,53,57,7.02
Los Algarrobos,northern,8.5,-82.4333,72.01,100,75,8.05
Vardø,northern,70.3705,31.1107,48.18,81,0,4.61
Lotoshino,northern,56.2267,35.6414,65.12,87,95,4.47
Rocha,southern,-34.4833,-54.3333,52.59,77,100,1.77
Kanelovskaya,northern,46.5908,39.19,69.35,81,45,4.99
Shitkino,northern,56.3703,98.3543,52.45,99,100,5.84
Shreveport,northern,32.5251,-93.7502,93.16,57,75,8.05
Bhawānipatna,northern,19.9,83.1667,77.9,83,47,4.18
Robertsport,northern,6.7533,-11.3686,76.89,88,100,8.9
Östersund,northern,63.1792,14.6357,54.05,82,90,9.22
Suntar,northern,62.1444,117.6319,64.87,77,63,2.98
Barcarena,southern,-1.5058,-48.6258,87.85,83,100,5.57
Poronaysk,northern,49.2167,143.1167,51.58,96,100,2.13
Grindavik,northern,63.8424,-22.4338,48.96,93,90,25.32
Ust'-Kan,northern,50.9276,84.761,36.77,91,100,2.37
Aklavik,northern,68.2191,-135.0107,73.4,53,75,11.5
Port Lincoln,southern,-34.7333,135.8667,52.3,72,100,6.78
Narasannapeta,northern,18.4167,84.05,84.65,66,94,5.75
Burē,northern,10.7,37.0667,55.98,89,94,2.48
Kadaya,northern,50.9327,119.2911,59.9,91,70,4.09
Ikwiriri,southern,-7.9562,38.9716,66.99,89,4,3.44
Klaksvík,northern,62.2266,-6.589,50.92,74,99,4.38
Camargo,northern,27.6667,-105.1667,98.4,17,36,5.66
Great Yarmouth,northern,52.6083,1.7305,59.5,95,100,4.65
Kysyl-Syr,northern,63.8986,122.7617,65.08,83,63,3.27
Zhigansk,northern,66.7697,123.3711,64.04,70,5,8.88
Canto do Buriti,southern,-8.11,-42.9444,83.79,37,50,5.97
Vila,northern,42.0304,-8.1588,62.62,70,99,2.04
Novooleksiyivka,northern,46.2269,34.6428,74.16,83,2,6.69
Horasan,northern,40.0458,42.1728,57.58,52,0,1.39
Esperance,southern,-33.8667,121.9,42.64,72,1,10.69
Taunggyi,northern,20.7833,97.0333,63.66,96,97,3.27
Pemberton,northern,50.3164,-122.8027,92.89,34,0,3.58
Broome,northern,42.2506,-75.833,78.03,55,1,1.01
Madison,northern,34.7334,-86.5667,82.63,66,75,1.01
Santa Rosa,northern,14.3122,121.1114,79.39,87,98,2.71
Agropoli,northern,40.3469,14.9966,77.29,75,0,2.73
Chesma,northern,53.8111,60.6533,63.01,90,70,3.24
Ziro,northern,27.6333,93.8333,58.35,97,100,0.56
Bakchar,northern,57.0186,82.0711,50.32,86,100,5.03
Yumen,northern,40.2833,97.2,71.62,20,82,9.46
Worland,northern,44.0169,-107.9554,77.16,38,1,1.99
Bowen,southern,-20.0167,148.2333,64.62,89,69,6.62
Grand Gaube,southern,-20.0064,57.6608,66.6,79,34,12.77
Salinópolis,southern,-0.6136,-47.3561,79.27,82,54,10.42
Racibórz,northern,50.0919,18.2193,62.35,98,87,6.22
Cayambe,northern,0.05,-78.1333,63.66,73,61,0.85
Russell,northern,32.3502,-85.1999,84.2,50,1,6.91
Yerbogachën,northern,61.2767,108.0108,56.73,79,43,2.73
Kiryat Gat,northern,31.61,34.7642,77.2,66,0,3.98
Nebaj,northern,15.4058,-91.1461,75.78,67,93,5.82
Mocuba,southern,-16.8392,36.9856,63.52,79,3,3.22
Gorontalo,northern,0.5412,123.0595,74.17,94,59,3.04
Kargil,northern,34.5667,76.1,48.38,55,90,6.24
Naze,northern,28.3667,129.4833,75.61,89,100,10.36
Santo Antônio do Sudoeste,southern,-26.0736,-53.7253,64.15,95,48,3.31
Eldorado,southern,-23.7869,-54.2836,70.02,81,85,5.93
Evensk,northern,61.95,159.2333,65.17,58,84,7.45
San Pablo City,northern,14.0669,121.3258,77.09,90,98,0.92
Dickinson,northern,29.4608,-95.0513,89.37,69,75,3
Balkanabat,northern,39.5108,54.3671,93.2,20,0,10.83
Tuatapere,southern,-46.1333,167.6833,45.82,94,90,1.12
Praia da Vitória,northern,38.7333,-27.0667,71.85,78,40,6.11
Half Moon Bay,northern,37.4636,-122.4286,69.37,66,75,12.66
Dakar,northern,14.6937,-17.4441,82.53,78,0,4.61
Hofn,northern,64.2539,-15.2082,50.27,91,100,22.3
Celestún,northern,20.8667,-90.4,85.44,63,100,16.6
Rucheng,northern,32.3883,120.5553,78.04,82,100,13.49
Mahanoro,southern,-19.9,48.8,64.54,90,12,4.7
Pauini,southern,-7.7136,-66.9764,83.8,61,95,2.3
Bonthe,northern,7.5264,-12.505,77.27,88,100,8.32
Artigas,southern,-30.4,-56.4667,54.45,83,37,8.32
Kahului,northern,20.8947,-156.47,82.65,65,20,9.22
Aromashevo,northern,56.8602,68.6375,50.45,86,29,6.35
Port Hedland,southern,-20.3167,118.5667,48.25,76,2,10.36
Liwale,southern,-9.7667,37.9333,66.96,67,93,2.17
Cidreira,southern,-30.1811,-50.2056,58.73,68,7,5.68
Vengerovo,northern,55.6848,76.7471,46.89,88,11,1.52
Caruray,northern,10.3094,119.0128,78.87,84,23,3.33
Haines Junction,northern,60.7522,-137.5108,60.75,55,100,5.75
Chui,southern,-33.6971,-53.4616,53.42,78,92,2.75
Marataizes,southern,-21.0433,-40.8244,71.13,77,1,14.25
Hanyang,northern,32.1371,105.5126,67.19,93,100,2.77
Jaunjelgava,northern,56.6167,25.0833,67.5,99,25,3.15
Damaturu,northern,11.747,11.9608,85.01,44,84,4.05
Mnogovershinnyy,northern,53.9353,139.9242,52.27,78,28,3
Moose Factory,northern,51.2585,-80.6094,80.58,41,75,14.97
Brasília,southern,-15.7797,-47.9297,77.92,34,40,10.36
Macaé,southern,-22.3708,-41.7869,76.71,61,0,13.8
Jequié,southern,-13.8575,-40.0836,67.08,63,10,2.77
Santiago del Estero,southern,-27.7951,-64.2615,67.75,43,38,8.34
Ruteng,southern,-8.6136,120.4721,61.25,94,44,1.79
Poum,southern,-20.2333,164.0167,74.37,72,46,17.18
Pacific Grove,northern,36.6177,-121.9166,63.72,78,1,5.99
Klyuchi,northern,52.2667,79.1667,53.1,84,95,3.78
Qandala,northern,11.472,49.8728,89.78,53,66,0.96
Puerto Madryn,southern,-42.7692,-65.0385,47.86,49,90,26.35
Davenda,northern,53.5556,119.317,60.37,88,15,2.95
Angoche,southern,-16.2325,39.9086,72.01,72,4,6.4
Uarini,southern,-2.99,-65.1083,85.95,67,18,1.86
Constitución,southern,-35.3333,-72.4167,52.63,68,20,14.18
Nouadhibou,northern,20.931,-17.0347,69.78,73,6,18.41
Hadejia,northern,12.4498,10.0444,88.95,35,73,15.46
Mahon,northern,39.8885,4.2658,70.36,68,0,3.44
Hobyo,northern,5.3505,48.5268,77.65,84,94,26.53
Piaçabuçu,southern,-10.4056,-36.4344,74.03,71,17,8.93
Manokwari,southern,-0.8667,134.0833,78.28,78,100,2.66
Narsaq,northern,60.9167,-46.05,55.62,58,84,2.13
Saint-Pierre,southern,-21.3393,55.4781,64.6,81,0,6.91
Pisco,southern,-13.7,-76.2167,66.25,72,0,10.36
Samarai,southern,-10.6167,150.6667,78.19,84,100,6.35
Kulhudhuffushi,northern,6.6221,73.07,82.62,76,92,14.74
Richards Bay,southern,-28.783,32.0377,62.83,86,2,8.34
Moranbah,southern,-22.0016,148.0466,61.12,89,86,5.93
Ponta do Sol,northern,32.6667,-17.1,67.93,72,57,4.5
Aitape,southern,-3.1374,142.3475,76.1,86,93,4.43
Ilulissat,northern,69.2167,-51.1,50.02,53,90,13.8
Dickson,northern,36.077,-87.3878,81.09,78,90,1.99
Vestmannaeyjar,northern,63.4427,-20.2734,49.19,100,90,16.11
Tilichiki,northern,60.4667,166.1,58.5,72,2,3.69
Tazmalt,northern,36.3868,4.3989,76.55,60,100,3.11
Vila Velha,southern,-20.3297,-40.2925,73.35,73,0,11.5
Yulara,southern,-25.2406,130.9889,39.04,87,0,5.75
Abhā,northern,18.2164,42.5053,71.85,43,0,6.91
Pemangkat,northern,1.1667,108.9667,78.13,85,94,4.03
Ténenkou,northern,14.4572,-4.9169,89.01,40,93,1.95
Burns Lake,northern,54.2331,-125.7533,76.42,36,1,7.29
Hay River,northern,60.8156,-115.7999,76.98,47,20,8.05
Chokwé,southern,-24.5333,32.9833,66.52,44,0,6.85
Bereda,northern,43.2686,-7.5406,59.31,95,7,4.63
Road Town,northern,18.4167,-64.6167,85.51,66,75,14.97
Margate,northern,51.3813,1.3862,58.37,88,100,1.99
Vestmanna,northern,62.1564,-7.1664,49.12,93,90,3.44
Svetlaya,northern,46.5389,138.3297,64.4,82,100,7.16
Rafaela,southern,-31.2503,-61.4867,62.78,57,7,5.01
Muskogee,northern,35.5834,-95.3336,90.93,58,4,16.11
Talara,southern,-4.5772,-81.2719,75.96,73,0,14.97
Barra de Tecoanapa,northern,16.5167,-98.75,80.64,76,100,4.63
Frederico Westphalen,southern,-27.3592,-53.3944,59.45,88,2,3.8
Hyvinkää,northern,60.6333,24.8667,69.03,90,16,4.41
Ahmadpur,northern,18.7,76.9333,77.4,75,100,11.48
Smirnykh,northern,49.75,142.8333,53.28,96,100,2.98
Kawalu,southern,-7.3817,108.2082,72.01,98,87,0.56
Chifeng,northern,42.2683,118.9636,62.19,92,100,2.84
Dunmore Town,northern,25.5,-76.65,81.37,75,37,11.52
Kuusamo,northern,65.9667,29.1833,60.84,82,0,5.75
Sartell,northern,45.6216,-94.2069,83.7,40,1,1.99
Juegang,northern,32.3174,121.1855,74.64,88,100,12.88
Boende,southern,-0.2167,20.8667,78.78,62,88,2.68
Genhe,northern,50.7833,121.5167,58.06,90,97,1.99
Hong Kong,northern,22.2855,114.1577,81.91,93,100,5.99
Peoria,northern,40.7667,-89.7668,79.2,70,20,5.75
Dukat,northern,62.55,155.55,62.76,41,73,7.18
